Time,Frequency 09B35150 (Hgr Walikale - Lab),Frequency 64B734C2 (Hgr Walikale - Cabane),Voltage 09B35150 (Hgr Walikale - Lab),Voltage 64B734C2 (Hgr Walikale - Cabane),Generator_ON
1/22/23 9:24,50,50,229,226,FALSE
1/22/23 9:26,50,50,229,226,FALSE
1/22/23 9:28,50,49.9,229,226,FALSE
1/22/23 9:30,50,50,229,226,FALSE
1/22/23 9:32,50,50,230,226,FALSE
1/22/23 9:34,50,50,230,226,FALSE
1/22/23 9:36,50,50,230,226,FALSE
1/22/23 9:38,50,50,230,226,FALSE
1/22/23 9:40,50.1,50,230,226,FALSE
1/22/23 9:42,50.1,50,230,226,FALSE
1/22/23 9:44,50.1,50,230,226,FALSE
1/22/23 9:46,50,50,230,226,FALSE
1/22/23 9:48,50,50,230,226,FALSE
1/22/23 9:50,50,50,230,226,FALSE
1/22/23 9:52,50,50,230,226,FALSE
1/22/23 9:54,50,50,229,226,FALSE
1/22/23 9:56,50,50,229,225,FALSE
1/22/23 9:58,50,49.9,229,225,FALSE
1/22/23 10:00,50,50,229,226,FALSE
1/22/23 10:02,50,50.1,229,226,FALSE
1/22/23 10:04,50,50,229,226,FALSE
1/22/23 10:06,49.9,50,229,226,FALSE
1/22/23 10:08,50,50.1,229,226,FALSE
1/22/23 10:10,50,50,230,226,FALSE
1/22/23 10:12,50,50,230,226,FALSE
1/22/23 10:14,50,50,230,226,FALSE
1/22/23 10:16,50,50,229,226,FALSE
1/22/23 10:18,50,50,229,226,FALSE
1/22/23 10:20,50,50,229,226,FALSE
1/22/23 10:22,50,50,230,226,FALSE
1/22/23 10:24,49.9,50,229,226,FALSE
1/22/23 10:26,50,50,230,226,FALSE
1/22/23 10:28,50.1,50,230,226,FALSE
1/22/23 10:30,50,50,230,226,FALSE
1/22/23 10:32,50,50,230,226,FALSE
1/22/23 10:34,50,50,230,226,FALSE
1/22/23 10:36,50,50,230,226,FALSE
1/22/23 10:38,50,50,226,225,FALSE
1/22/23 10:40,50,50,226,224,FALSE
1/22/23 10:42,50,50,230,226,FALSE
1/22/23 10:44,50,50,230,226,FALSE
1/22/23 10:46,50,50,230,226,FALSE
1/22/23 10:48,50,50,230,226,FALSE
1/22/23 10:50,50,50,230,226,FALSE
1/22/23 10:52,50,50,229,226,FALSE
1/22/23 10:54,50,50,230,226,FALSE
1/22/23 10:56,50,50.1,230,226,FALSE
1/22/23 10:58,50,50,230,226,FALSE
1/22/23 11:00,50,50,230,226,FALSE
1/22/23 11:02,50,50,230,226,FALSE
1/22/23 11:04,50,50,230,226,FALSE
1/22/23 11:06,50,50,230,226,FALSE
1/22/23 11:08,50,50,230,223,FALSE
1/22/23 11:10,50,50,230,226,FALSE
1/22/23 11:12,50,50,230,226,FALSE
1/22/23 11:14,50,50,230,226,FALSE
1/22/23 11:16,50,50,230,226,FALSE
1/22/23 11:18,50,50,230,226,FALSE
1/22/23 11:20,50,50,230,224,FALSE
1/22/23 11:22,50,50,230,224,FALSE
1/22/23 11:24,50,49.9,229,224,FALSE
1/22/23 11:26,50,50.1,229,225,FALSE
1/22/23 11:28,50,50.1,229,222,FALSE
1/22/23 11:30,50,50,229,225,FALSE
1/22/23 11:32,50,50,228,225,FALSE
1/22/23 11:34,50,50,229,225,FALSE
1/22/23 11:36,50,50,229,225,FALSE
1/22/23 11:38,50,50,229,224,FALSE
1/22/23 11:40,50,50,230,224,FALSE
1/22/23 11:42,50,50,230,225,FALSE
1/22/23 11:44,50,50,230,224,FALSE
1/22/23 11:46,50,50,229,224,FALSE
1/22/23 11:48,50,50,230,224,FALSE
1/22/23 11:50,50,50,230,224,FALSE
1/22/23 11:52,50,50,230,224,FALSE
1/22/23 11:54,50,50,230,225,FALSE
1/22/23 11:56,50.1,50,230,225,FALSE
1/22/23 11:58,49.9,50,230,225,FALSE
1/22/23 12:00,50,50,230,224,FALSE
1/22/23 12:02,50,50,230,224,FALSE
1/22/23 12:04,50,50,230,225,FALSE
1/22/23 12:06,50,50,230,224,FALSE
1/22/23 12:08,49.9,50,230,224,FALSE
1/22/23 12:10,50,50,230,225,FALSE
1/22/23 12:12,50,50,230,223,FALSE
1/22/23 12:14,50,50,230,225,FALSE
1/22/23 12:16,50,50,230,225,FALSE
1/22/23 12:18,50,50,230,225,FALSE
1/22/23 12:20,50,50,230,224,FALSE
1/22/23 12:22,50,50,230,224,FALSE
1/22/23 12:24,50,50,230,223,FALSE
1/22/23 12:26,50,50.1,230,224,FALSE
1/22/23 12:28,50,50,229,224,FALSE
1/22/23 12:30,50,50.1,230,224,FALSE
1/22/23 12:32,50,50.1,230,224,FALSE
1/22/23 12:34,50,50,230,224,FALSE
1/22/23 12:36,50,50,230,224,FALSE
1/22/23 12:38,49.9,50,229,224,FALSE
1/22/23 12:40,50.1,50,229,223,FALSE
1/22/23 12:42,50,50.1,229,224,FALSE
1/22/23 12:44,50,50,226,224,FALSE
1/22/23 12:46,50,50,228,223,FALSE
1/22/23 12:48,50,,229,,FALSE
1/22/23 12:50,50.1,50,230,224,FALSE
1/22/23 12:52,50,50,230,224,FALSE
1/22/23 12:54,50.1,50,229,225,FALSE
1/22/23 12:56,50,49.9,229,224,FALSE
1/22/23 12:58,50,50,229,224,FALSE
1/22/23 13:00,49.9,50,228,225,FALSE
1/22/23 13:02,50,50,229,224,FALSE
1/22/23 13:04,50,49.9,229,224,FALSE
1/22/23 13:06,50,50,229,225,FALSE
1/22/23 13:08,50,50,229,225,FALSE
1/22/23 13:10,50.1,,230,,FALSE
1/22/23 13:12,50.1,50,230,224,FALSE
1/22/23 13:14,50,50,230,224,FALSE
1/22/23 13:16,50,50,230,224,FALSE
1/22/23 13:18,50,50,230,224,FALSE
1/22/23 13:20,50,50,229,225,FALSE
1/22/23 13:22,49.9,50,230,225,FALSE
1/22/23 13:24,50,50,230,225,FALSE
1/22/23 13:26,50,50,230,225,FALSE
1/22/23 13:28,50,50,230,225,FALSE
1/22/23 13:30,50,50,230,224,FALSE
1/22/23 13:32,50,50,230,225,FALSE
1/22/23 13:34,50,50,230,222,FALSE
1/22/23 13:36,50,50,230,225,FALSE
1/22/23 13:38,50,50,226,224,FALSE
1/22/23 13:40,50,50,229,224,FALSE
1/22/23 13:42,50,50,230,224,FALSE
1/22/23 13:44,50,50,230,224,FALSE
1/22/23 13:46,50,50,230,225,FALSE
1/22/23 13:48,50,50,230,225,FALSE
1/22/23 13:50,50,,230,,FALSE
1/22/23 13:52,50,50,230,223,FALSE
1/22/23 13:54,50,,229,,FALSE
1/22/23 13:56,50,50,230,224,FALSE
1/22/23 13:58,50,50,230,224,FALSE
1/22/23 14:00,50,50,230,224,FALSE
1/22/23 14:02,50.1,50,229,225,FALSE
1/22/23 14:04,50,50,230,223,FALSE
1/22/23 14:06,50,50,230,225,FALSE
1/22/23 14:08,50,50,230,224,FALSE
1/22/23 14:10,50,50,230,226,FALSE
1/22/23 14:12,50,50,230,224,FALSE
1/22/23 14:14,50,50,230,225,FALSE
1/22/23 14:16,50,50,230,225,FALSE
1/22/23 14:18,49.7,50,230,224,FALSE
1/22/23 14:20,50,50,229,225,FALSE
1/22/23 14:22,50,49.9,230,225,FALSE
1/22/23 14:24,50.1,50,229,224,FALSE
1/22/23 14:26,50.1,50,228,225,FALSE
1/22/23 14:28,50,50,226,225,FALSE
1/22/23 14:30,50,50,229,226,FALSE
1/22/23 14:32,50,50,228,225,FALSE
1/22/23 14:34,50,50,229,226,FALSE
1/22/23 14:36,50,50,228,225,FALSE
1/22/23 14:38,50,50,229,226,FALSE
1/22/23 14:40,50,49.9,229,226,FALSE
1/22/23 14:42,50,50,229,226,FALSE
1/22/23 14:44,50.1,50,230,225,FALSE
