"Time","Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)","Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)"
2025-06-11 22:36:00,50.4,232
2025-06-11 22:38:00,101,232
2025-06-11 22:40:00,50.3,232
2025-06-11 22:42:00,50.2,231
2025-06-11 22:44:00,50.6,232
2025-06-11 22:46:00,50.8,233
2025-06-11 22:48:00,50.5,232
2025-06-11 22:50:00,50.2,232
2025-06-11 22:52:00,49.9,232
2025-06-11 22:54:00,49.9,232
2025-06-11 22:56:00,50.1,232
2025-06-11 22:58:00,50.2,232
2025-06-11 23:00:00,50.0,232
2025-06-11 23:02:00,50.4,234
2025-06-11 23:04:00,50.6,234
2025-06-11 23:06:00,50.7,234
2025-06-11 23:08:00,50.6,234
2025-06-11 23:10:00,50.3,233
2025-06-11 23:12:00,49.9,233
2025-06-11 23:14:00,49.8,233
2025-06-11 23:16:00,49.9,233
2025-06-11 23:18:00,50.1,234
2025-06-11 23:20:00,50.3,234
2025-06-11 23:22:00,50.5,234
2025-06-11 23:24:00,50.8,235
2025-06-11 23:26:00,50.6,234
2025-06-11 23:28:00,50.5,234
2025-06-11 23:30:00,50.1,233
2025-06-11 23:32:00,49.9,233
2025-06-11 23:34:00,49.8,233
2025-06-11 23:36:00,50.2,234
2025-06-11 23:38:00,50.5,235
2025-06-11 23:40:00,50.8,235
2025-06-11 23:42:00,50.5,234
2025-06-11 23:44:00,50.1,234
2025-06-11 23:46:00,49.8,234
2025-06-11 23:48:00,50.0,235
2025-06-11 23:50:00,49.8,235
2025-06-11 23:52:00,49.5,234
2025-06-11 23:54:00,50.5,236
2025-06-11 23:56:00,49.9,235
2025-06-11 23:58:00,49.4,235
2025-06-12 00:00:00,49.8,235
2025-06-12 00:02:00,50,235
