"Time","Frequency 25F7F910 (Hgr Beni - Gen area)","Frequency D10C8B91 (Hgr Beni - Lab)","Voltage 25F7F910 (Hgr Beni - Gen area)","Voltage D10C8B91 (Hgr Beni - Lab)"
2023-01-22 16:52:00,49.5,49.6,219,221
2023-01-22 16:54:00,49.5,49.7,219,220
2023-01-22 16:56:00,49.9,50.0,221,219
2023-01-22 16:58:00,50.0,49.9,221,216
2023-01-22 17:00:00,49.9,49.8,221,221
2023-01-22 17:02:00,49.7,49.8,222,220
2023-01-22 17:04:00,49.7,50.0,219,217
2023-01-22 17:06:00,50.0,50.0,219,216
2023-01-22 17:08:00,49.8,49.7,220,219
2023-01-22 17:10:00,49.8,49.8,223,221
2023-01-22 17:12:00,49.9,50,214,216
2023-01-22 17:14:00,50.0,50.0,221,221
2023-01-22 17:16:00,50.2,50.1,223,223
2023-01-22 17:18:00,50.0,50.0,218,216
2023-01-22 17:20:00,50.2,50.3,221,221
2023-01-22 17:22:00,50.0,50.1,221,220
2023-01-22 17:24:00,50.0,50.1,220,220
2023-01-22 17:26:00,50.4,50.4,221,221
2023-01-22 17:28:00,50.1,49.9,221,221
2023-01-22 17:30:00,49.8,49.8,219,221
2023-01-22 17:32:00,49.8,49.9,221,221
2023-01-22 17:34:00,49.8,50.0,220,221
2023-01-22 17:36:00,50.0,50.2,214,219
2023-01-22 17:38:00,50.0,50.2,221,220
2023-01-22 17:40:00,50.2,50.2,220,218
2023-01-22 17:42:00,49.8,49.6,219,219
2023-01-22 17:44:00,49.7,49.8,221,220
2023-01-22 17:46:00,50.5,50.4,221,221
2023-01-22 17:48:00,50.0,50.0,220,220
2023-01-22 17:50:00,49.7,49.5,222,221
2023-01-22 17:52:00,49.1,49.0,221,221
