Facility,Period,Voltage (% in +/- 10% of 230V)_x,Frequency (% in +/- 5% of 50Hz)_x,SAIDI,SAIFI,Quality Score,Reliability Score,PQR Score,Voltage (% in +/- 10% of 230V)_y,Voltage (% > 10% of 230V),Voltage (% < 10% of 230V),Voltage (% > 20% of 230V),Voltage (% < 20% of 230V),Frequency (% in +/- 5% of 50Hz)_y,Frequency (% > 5% of 50Hz),Frequency (% < 5% of 50Hz),Frequency (% > 15% of 50Hz),Frequency (% < 15% of 50Hz),Average outage duration,# of outages in the month that were >2 hours,# of days in the month with an outage of at least 2 hours,# of outages in the month that were >8 hours,# of days in the month with an outage of at least 8 hours,Average # of outages per day,# of days in the month with at least one outage,# of days in the month with >=3 outages
HGR Kyondo,2023-06-01,0.9849,0.8814,0.2497,2.0339,0.9332,0.9548,0.944,98.49,0.04,1.47,0.0,1.36,88.14,4.49,6.13,0.01,0.36,,,,,,,,
HGR Kyondo,2023-07-01,0.9922,0.9638,0.0775,0.5603,0.978,0.999,0.9885,99.22,0.05,0.72,0.0,0.7,96.38,1.15,1.78,0.02,0.06,,,,,,,,
HGR Kyondo,2023-08-01,0.9887,0.9505,0.1068,0.8976,0.9696,0.9948,0.9822,98.87,0.06,1.07,0.0,1.05,95.05,2.29,1.64,0.01,0.04,,,,,,,,
HGR Kyondo,2023-09-01,0.9773,0.948,0.3732,2.0478,0.9626,0.9498,0.9562,97.73,0.24,2.02,0.0,1.94,94.8,1.61,1.79,0.01,0.38,,,,,,,,
HGR Kyondo,2023-10-01,0.9869,0.9739,0.2075,0.9048,0.9804,0.9897,0.985,98.69,0.1,1.21,0.0,1.09,97.39,0.93,0.62,0.0,0.29,,,,,,,,
HGR Kyondo,2023-11-01,0.9849,0.9378,0.307,1.2742,0.9614,0.9679,0.9647,98.49,0.05,1.46,0.0,1.37,93.78,3.74,1.11,0.01,0.35,,,,,,,,
HGR Kyondo,2023-12-01,0.9958,0.9597,0.0944,0.5769,0.9778,0.9985,0.9881,99.58,0.01,0.4,0.0,0.4,95.97,3.15,0.48,0.01,0.01,,,,,,,,
HGR Kyondo,2024-01-01,0.991,0.9138,0.1731,0.7619,0.9524,0.9918,0.9721,99.1,0.03,0.87,0.0,0.82,91.38,6.84,1.0,0.01,0.13,,,,,,,,
HGR Kyondo,2024-02-01,0.9884,0.9014,0.2046,1.4737,0.9449,0.981,0.963,98.84,0.0,1.16,0.0,1.07,90.14,6.75,2.09,0.02,0.25,,,,,,,,
HGR Kyondo,2024-03-01,0.9844,0.8819,0.2543,0.8696,0.9332,0.9858,0.9595,98.44,0.0,1.55,0.0,1.45,88.19,8.43,1.99,0.04,0.21,,,,,,,,
HGR Kyondo,2024-04-01,0.9924,0.9265,0.1719,1.062,0.9594,0.9932,0.9763,99.29,0.02,0.69,0.0,0.64,92.35,5.05,0.54,0.81,0.1,,,,,,,,
HGR Kyondo,2024-05-01,0.9716,0.9263,0.1579,1.0755,0.949,0.9932,0.9711,97.2,0.19,2.6,0.0,2.55,92.64,3.21,1.28,0.31,0.22,0.92,1.0,1.0,0.0,0.0,0.13,3.0,0.0
HGR Kyondo,2024-06-01,0.9907,0.9079,0.0243,0.5642,0.9493,0.9992,0.9742,99.14,0.0,0.86,0.0,0.81,90.33,4.66,2.47,0.97,0.06,0.5,0.0,0.0,0.0,0.0,0.03,1.0,0.0
HGR Kyondo,2024-07-01,0.9963,0.8871,0.0473,0.8265,0.9417,0.9995,0.9706,99.66,0.0,0.34,0.0,0.29,88.8,4.11,4.94,1.74,0.19,,,,,,,,
HGR Kyondo,2024-08-01,0.9159,0.8438,0.0778,0.6191,0.8798,0.9967,0.9383,92.31,0.02,7.67,0.0,7.59,82.2,3.05,6.71,0.5,0.25,,,,,,,,
HGR Kyondo,2024-09-01,0.9756,0.8819,0.0422,0.3942,0.9288,0.999,0.9639,97.58,0.03,2.38,0.0,2.32,88.23,3.59,5.42,0.24,0.24,2.17,1.0,1.0,0.0,0.0,0.03,1.0,0.0
HGR Kyondo,2024-10-01,0.9952,0.8795,0.055,0.7447,0.9373,0.9945,0.9659,99.52,0.03,0.44,0.0,0.31,87.95,4.5,6.03,0.62,0.36,,,,,,,,
HGR Lubero,2022-06-01,0.9996,0.9749,0.0099,0.2,0.9872,1.0,0.9936,99.96,0.0,0.04,0.0,0.04,97.49,2.47,0.0,0.0,0.0,,,,,,,,
HGR Lubero,2022-07-01,0.9497,0.9493,0.1787,0.3219,0.9495,0.9991,0.9743,94.97,0.0,5.03,0.0,5.03,94.93,0.04,0.0,0.0,0.0,,,,,,,,
HGR Lubero,2022-08-01,0.9239,0.8778,0.2638,0.9337,0.9008,0.991,0.9459,92.39,0.0,7.61,0.0,7.55,87.78,4.66,0.01,0.0,0.0,,,,,,,,
HGR Lubero,2022-09-01,0.9566,0.9527,0.1129,0.5187,0.9546,0.9928,0.9737,95.66,0.0,4.34,0.0,4.33,95.27,0.4,0.0,0.0,0.0,,,,,,,,
HGR Lubero,2022-10-01,0.9788,0.9328,0.1446,0.3913,0.9558,0.9952,0.9755,97.88,0.0,2.12,0.0,2.09,93.28,4.62,0.0,0.0,0.0,,,,,,,,
HGR Lubero,2022-11-01,0.9224,0.9027,0.0689,0.4953,0.9126,0.9972,0.9549,92.24,0.0,7.76,0.0,7.76,90.27,1.97,0.0,0.0,0.0,,,,,,,,
HGR Lubero,2022-12-01,0.9408,0.9184,0.2613,0.5005,0.9296,1.0,0.9648,94.08,0.0,5.92,0.0,5.92,91.84,2.23,0.0,0.0,0.0,,,,,,,,
HGR Lubero,2023-01-01,0.9859,0.9712,0.1227,0.75,0.9786,0.9723,0.9754,98.59,0.0,1.41,0.0,1.4,97.12,1.47,0.0,0.0,0.0,,,,,,,,
HGR Lubero,2023-02-01,0.7438,0.7358,0.0386,0.3462,0.7398,0.999,0.8694,74.38,0.0,25.62,0.0,25.62,73.58,0.81,0.01,0.0,0.0,,,,,,,,
HGR Lubero,2023-03-01,0.9355,0.8643,0.0898,0.6551,0.8999,0.9954,0.9477,93.55,0.0,6.45,0.0,6.42,86.43,7.11,0.01,0.01,0.0,,,,,,,,
HGR Lubero,2023-04-01,0.9898,0.9495,0.0755,0.6408,0.9696,0.996,0.9828,98.98,0.0,1.02,0.0,1.0,94.95,4.05,0.0,0.0,0.0,,,,,,,,
HGR Lubero,2023-05-01,0.9259,0.925,0.0095,0.8333,0.9254,1.0,0.9627,92.59,0.0,7.41,0.0,7.35,92.5,0.15,0.0,0.0,0.0,,,,,,,,
HGR Lubero,2023-06-01,0.9909,0.9819,0.0391,0.2609,0.9864,0.9977,0.992,99.09,0.0,0.91,0.0,0.89,98.19,0.91,0.0,0.0,0.0,,,,,,,,
HGR Lubero,2023-07-01,0.979,0.9537,0.4757,0.4231,0.9664,0.9761,0.9712,97.9,0.0,2.1,0.0,2.1,95.37,2.52,0.0,0.0,0.0,,,,,,,,
HGR Lubero,2023-08-01,0.9887,0.9887,0.0,1.1803,0.9887,1.0,0.9944,98.87,0.0,1.13,0.0,1.13,98.87,0.0,0.0,0.0,0.0,,,,,,,,
HGR Lubero,2023-09-01,0.981,0.8564,0.1365,1.3613,0.9187,0.9944,0.9565,98.1,0.0,1.9,0.0,1.21,85.64,13.13,0.0,0.01,0.0,,,,,,,,
HGR Lubero,2023-10-01,0.7184,0.7118,0.0086,0.3681,0.7151,1.0,0.8576,71.84,0.0,28.16,0.0,27.77,71.18,0.98,0.0,0.09,0.0,,,,,,,,
HGR Lubero,2023-11-01,0.8294,0.8155,0.0014,0.2503,0.8224,1.0,0.9112,82.94,0.0,17.06,0.0,17.06,81.55,0.93,0.0,0.71,0.0,,,,,,,,
HGR Lubero,2023-12-01,0.977,0.9714,0.0,0.4097,0.9742,1.0,0.9871,97.7,0.0,2.3,0.0,2.07,97.14,0.77,0.0,0.04,0.0,,,,,,,,
HGR Lubero,2024-01-01,0.9526,0.9395,0.0,0.1111,0.946,1.0,0.973,95.26,0.0,4.74,0.0,4.73,93.95,1.32,0.0,0.01,0.0,,,,,,,,
HGR Lubero,2024-02-01,0.9847,0.9811,0.0,0.2,0.9829,1.0,0.9914,98.47,0.0,1.53,0.0,1.53,98.11,0.34,0.0,0.01,0.0,,,,,,,,
HGR Lubero,2024-03-01,0.9432,0.8649,0.0,0.3416,0.904,1.0,0.952,94.32,0.0,5.68,0.0,5.54,86.49,5.08,0.0,5.03,0.0,,,,,,,,
HGR Lubero,2024-04-01,0.9392,0.9139,0.0,0.6161,0.9266,1.0,0.9633,93.92,0.0,6.08,0.0,6.08,91.39,1.88,0.0,1.88,0.0,,,,,,,,
HGR Lubero,2024-05-01,0.9817,0.9767,0.0,0.1296,0.9792,1.0,0.9896,98.17,0.0,1.83,0.0,1.72,97.67,0.61,0.0,0.61,0.0,,,,,,,,
HGR Lubero,2024-06-01,0.9919,0.9903,0.0,0.7246,0.9911,1.0,0.9956,99.19,0.0,0.81,0.0,0.8,99.03,0.09,0.0,0.09,0.0,,,,,,,,
HGR Lubero,2024-07-01,0.9469,0.9502,0.0087,0.3929,0.9486,1.0,0.9743,94.69,0.0,5.31,0.0,4.03,95.02,0.87,0.03,0.13,0.0,,,,,,,,
HGR Lubero,2024-08-01,0.9913,0.9912,0.0925,0.881,0.9912,0.999,0.9951,99.13,0.0,0.87,0.0,0.69,99.12,0.13,0.01,0.06,0.0,,,,,,,,
HGR Lubero,2024-09-01,1.0,0.9986,0.0,0.4023,0.9993,1.0,0.9996,100.0,0.0,0.0,0.0,0.0,99.86,0.05,0.0,0.05,0.0,,,,,,,,
HGR Lubero,2024-10-01,0.9619,0.9981,0.0,0.4167,0.98,1.0,0.99,96.19,0.0,3.81,0.0,0.03,99.81,0.06,0.03,0.06,0.0,,,,,,,,
HGR Masisi,2022-06-01,0.9997,0.9995,0.0046,0.6667,0.9996,0.9998,0.9997,99.97,0.0,0.03,0.0,0.03,99.95,0.02,0.0,0.0,0.0,,,,,,,,
HGR Masisi,2022-07-01,0.9997,0.9992,0.0021,0.4877,0.9994,1.0,0.9997,99.97,0.0,0.03,0.0,0.02,99.92,0.04,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.03,1.0,0.0
HGR Masisi,2022-08-01,0.9999,0.9984,0.0004,0.5301,0.9992,1.0,0.9996,99.99,0.0,0.01,0.0,0.01,99.84,0.15,0.0,0.01,0.0,0.17,0.0,0.0,0.0,0.0,0.03,1.0,0.0
HGR Masisi,2022-09-01,1.0,0.9993,0.0,0.3047,0.9996,1.0,0.9998,100.0,0.0,0.0,0.0,0.0,99.93,0.06,0.0,0.01,0.0,,,,,,,,
HGR Masisi,2022-10-01,0.9997,0.9998,0.0,1.0916,0.9998,1.0,0.9999,99.97,0.03,0.0,0.0,0.0,99.98,0.02,0.0,0.0,0.0,,,,,,,,
HGR Masisi,2022-11-01,1.0,0.9988,0.0,0.3872,0.9994,1.0,0.9997,100.0,0.0,0.0,0.0,0.0,99.88,0.11,0.0,0.0,0.0,,,,,,,,
HGR Masisi,2022-12-01,1.0,0.9973,0.0,0.7183,0.9986,1.0,0.9993,100.0,0.0,0.0,0.0,0.0,99.73,0.27,0.0,0.0,0.0,,,,,,,,
HGR Masisi,2023-01-01,0.9985,0.9954,0.0,0.9048,0.997,1.0,0.9985,99.85,0.0,0.15,0.0,0.15,99.54,0.31,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.03,1.0,0.0
HGR Masisi,2023-02-01,1.0,0.9936,0.0008,0.52,0.9968,1.0,0.9984,100.0,0.0,0.0,0.0,0.0,99.36,0.63,0.0,0.0,0.0,,,,,,,,
HGR Masisi,2023-03-01,1.0,0.9981,0.0,0.32,0.999,1.0,0.9995,100.0,0.0,0.0,0.0,0.0,99.81,0.18,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.03,1.0,0.0
HGR Masisi,2023-04-01,0.9987,0.9976,0.0004,0.4348,0.9982,1.0,0.9991,99.87,0.0,0.13,0.0,0.13,99.76,0.11,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.07,1.0,0.0
HGR Masisi,2023-05-01,0.867,0.867,0.0,0.6139,0.867,1.0,0.9335,86.7,0.0,13.3,0.0,13.3,86.7,0.0,0.0,0.0,0.0,23.17,27.0,27.0,27.0,27.0,4.67,27.0,0.0
HGR Masisi,2023-06-01,0.8286,0.8286,0.0,0.5185,0.8286,1.0,0.9143,82.86,0.0,17.14,0.0,17.14,82.86,0.0,0.0,0.0,0.0,19.64,29.0,26.0,24.0,24.0,4.29,26.0,1.0
HGR Masisi,2023-07-01,1.0,0.9831,0.0,0.3008,0.9916,1.0,0.9958,100.0,0.0,0.0,0.0,0.0,98.31,1.69,0.0,0.0,0.0,23.49,18.0,18.0,18.0,18.0,1.38,18.0,0.0
HGR Masisi,2023-08-01,0.9931,0.9929,0.0016,0.693,0.993,1.0,0.9965,99.31,0.0,0.69,0.0,0.69,99.29,0.03,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.03,1.0,0.0
HGR Masisi,2023-09-01,0.9999,0.9975,0.0,0.4029,0.9987,1.0,0.9994,99.99,0.0,0.01,0.0,0.01,99.75,0.23,0.0,0.0,0.0,,,,,,,,
HGR Masisi,2023-10-01,0.9989,0.9968,0.0001,0.6374,0.9978,1.0,0.9989,99.89,0.0,0.11,0.0,0.1,99.68,0.21,0.01,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.03,1.0,0.0
HGR Masisi,2023-11-01,0.9921,0.9911,0.0,0.4647,0.9916,1.0,0.9958,99.21,0.0,0.79,0.0,0.78,99.11,0.12,0.0,0.01,0.0,,,,,,,,
HGR Masisi,2023-12-01,0.9964,0.9924,0.0081,0.2917,0.9944,1.0,0.9972,99.64,0.0,0.36,0.0,0.36,99.24,0.4,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.1,2.0,0.0
HGR Masisi,2024-01-01,1.0,0.9935,0.0,0.0,0.9968,1.0,0.9984,100.0,0.0,0.0,0.0,0.0,99.35,0.65,0.0,0.0,0.0,,,,,,,,
HGR Oicha,2022-06-01,0.1752,0.1586,8.4775,0.5956,0.1669,0.74,0.4535,17.73,0.0,82.27,0.0,76.45,14.37,0.1,9.04,0.1,0.0,1.11,33.0,13.0,1.0,1.0,12.53,15.0,15.0
HGR Oicha,2022-07-01,0.1997,0.1758,8.8711,0.6462,0.1878,0.7518,0.4698,20.89,1.64,77.48,0.08,72.61,16.83,0.33,10.9,0.32,0.03,0.9,39.0,26.0,0.0,0.0,13.0,31.0,31.0
HGR Oicha,2022-08-01,0.2153,0.1632,13.0743,0.983,0.1892,0.5472,0.3682,21.23,2.11,76.66,0.05,73.01,14.86,0.3,11.66,0.3,0.02,1.0,61.0,29.0,0.0,0.0,13.19,31.0,31.0
HGR Oicha,2022-09-01,0.2418,0.1847,10.6612,1.1554,0.2132,0.6524,0.4328,24.37,2.59,73.04,0.03,71.14,17.86,0.21,10.51,0.21,0.03,1.18,64.0,27.0,0.0,0.0,11.37,30.0,30.0
HGR Oicha,2022-10-01,0.233,0.1734,11.1695,0.667,0.2032,0.7523,0.4777,23.37,1.61,75.03,0.04,72.28,17.29,0.28,9.92,0.28,0.0,1.75,90.0,30.0,1.0,1.0,8.35,31.0,31.0
HGR Oicha,2022-11-01,0.26,0.188,2.42,0.4737,0.224,0.9474,0.5857,26.0,3.29,70.71,0.01,68.45,18.8,1.07,11.41,1.07,0.0,2.13,92.0,30.0,2.0,2.0,6.8,30.0,29.0
HGR Oicha,2022-12-01,0.2813,0.2031,0.0,0.6459,0.2422,1.0,0.6211,28.13,6.03,65.84,0.18,62.04,20.31,1.61,11.01,1.61,0.0,1.69,77.0,31.0,5.0,5.0,8.83,31.0,28.0
HGR Oicha,2023-01-01,0.251,0.1963,5.8078,0.8027,0.2236,0.8319,0.5278,25.04,3.14,71.82,1.12,67.53,19.25,1.31,9.7,0.78,0.0,1.32,69.0,28.0,0.0,0.0,9.48,31.0,30.0
HGR Oicha,2023-02-01,0.1977,0.1479,10.023,0.6339,0.1728,0.7793,0.476,20.38,3.63,75.99,2.36,69.72,14.6,1.82,12.11,0.27,0.0,1.39,61.0,27.0,2.0,2.0,9.39,28.0,28.0
HGR Oicha,2023-03-01,0.196,0.1304,9.6202,0.7778,0.1632,0.7146,0.4389,20.23,3.16,76.61,1.73,70.3,13.28,2.32,12.48,0.12,0.0,1.23,73.0,30.0,0.0,0.0,10.71,31.0,31.0
HGR Oicha,2023-04-01,0.238,0.1338,9.3665,1.2174,0.1859,0.6476,0.4168,25.49,2.07,72.44,1.53,65.26,13.02,9.06,11.76,0.23,0.0,0.83,39.0,23.0,1.0,1.0,13.57,30.0,30.0
HGR Oicha,2023-05-01,0.2792,0.1253,9.0561,0.9138,0.2022,0.7567,0.4794,28.96,0.88,70.16,0.65,61.89,12.06,13.96,12.14,0.24,0.0,0.98,45.0,24.0,0.0,0.0,11.71,31.0,31.0
HGR Oicha,2023-06-01,0.2925,0.1235,1.2025,0.5599,0.208,0.9426,0.5753,30.52,1.75,67.73,1.5,58.5,12.27,16.03,12.68,1.0,0.0,0.79,33.0,19.0,0.0,0.0,11.47,30.0,30.0
HGR Oicha,2023-07-01,0.2904,0.0969,8.1532,1.3917,0.1936,0.5959,0.3947,30.78,0.95,68.26,0.87,57.59,9.59,20.22,12.6,0.27,0.0,0.79,26.0,19.0,0.0,0.0,11.71,31.0,31.0
HGR Oicha,2023-08-01,0.2987,0.1223,8.7988,1.182,0.2105,0.654,0.4323,30.7,0.59,68.71,0.52,58.24,11.95,17.78,11.88,0.06,0.0,0.79,26.0,21.0,0.0,0.0,12.74,31.0,31.0
HGR Oicha,2023-09-01,0.3024,0.1161,4.9915,0.9233,0.2092,0.7226,0.4659,32.43,0.55,67.02,0.52,61.26,11.15,14.84,12.57,0.08,0.0,0.84,27.0,20.0,0.0,0.0,11.07,30.0,30.0
HGR Oicha,2023-10-01,0.2574,0.0919,4.3156,1.4544,0.1746,0.7981,0.4864,26.4,1.09,72.51,1.02,64.75,8.8,8.98,17.41,0.04,0.0,0.97,26.0,20.0,0.0,0.0,10.42,31.0,31.0
HGR Oicha,2023-11-01,0.4181,0.2581,2.8341,0.6263,0.3381,0.8984,0.6182,40.74,0.44,58.82,0.42,53.24,23.81,3.3,19.76,0.04,0.01,0.96,23.0,20.0,0.0,0.0,7.73,30.0,30.0
HGR Oicha,2023-12-01,0.5344,0.3582,0.0,0.4167,0.4463,1.0,0.7232,53.44,0.16,46.41,0.0,45.11,35.82,0.03,19.08,0.03,0.0,0.96,10.0,8.0,0.0,0.0,5.67,15.0,12.0
HGR Rutshuru,2022-07-01,0.9351,0.9653,0.3548,0.8759,0.9502,0.9996,0.9749,93.51,0.01,6.48,0.0,2.16,96.53,0.0,1.33,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1.08,6.0,2.0
HGR Rutshuru,2022-08-01,0.9305,0.9628,0.0536,0.7324,0.9466,0.9967,0.9716,93.05,0.0,6.94,0.0,3.03,96.28,0.01,0.68,0.01,0.01,1.94,2.0,2.0,1.0,1.0,0.35,8.0,1.0
HGR Rutshuru,2022-09-01,0.8903,0.9217,0.044,0.27,0.906,0.9992,0.9526,89.03,0.01,10.96,0.0,7.56,92.17,0.01,0.25,0.01,0.01,5.65,15.0,13.0,9.0,9.0,1.96,21.0,4.0
HGR Rutshuru,2022-10-01,0.8975,0.9317,0.044,0.3183,0.9146,0.9995,0.9571,89.75,0.0,10.25,0.0,6.17,93.17,0.0,0.67,0.0,0.0,3.65,8.0,4.0,1.0,1.0,0.45,6.0,2.0
HGR Rutshuru,2022-11-01,0.9559,0.9553,0.0027,0.0,0.9556,1.0,0.9778,95.59,0.0,4.41,0.0,4.28,95.53,0.0,0.19,0.0,0.0,16.7,12.0,11.0,10.0,10.0,0.65,12.0,1.0
HGR Rutshuru,2022-12-01,0.9649,0.9626,0.0212,0.3336,0.9638,0.9998,0.9818,96.49,0.01,3.5,0.0,3.34,96.26,0.0,0.4,0.0,0.0,10.72,11.0,10.0,8.0,8.0,0.87,15.0,2.0
HGR Rutshuru,2023-01-01,0.971,0.9668,0.1028,1.3535,0.9689,0.9917,0.9803,97.1,0.0,2.9,0.0,2.85,96.68,0.0,0.48,0.0,0.0,1.02,3.0,2.0,0.0,0.0,0.63,12.0,1.0
HGR Rutshuru,2023-02-01,0.9589,0.9569,0.0594,0.7708,0.9579,0.9956,0.9768,95.89,0.0,4.11,0.0,4.08,95.69,0.0,0.23,0.0,0.01,9.32,10.0,10.0,9.0,9.0,1.25,17.0,2.0
HGR Rutshuru,2023-03-01,0.9682,0.9677,0.0273,0.705,0.968,0.9981,0.983,96.82,0.0,3.18,0.0,3.17,96.77,0.0,0.06,0.0,0.0,8.31,6.0,6.0,5.0,5.0,0.5,10.0,1.0
HGR Rutshuru,2023-04-01,0.9094,0.9508,0.0548,0.3751,0.9301,0.9976,0.9639,90.94,0.02,9.04,0.0,4.85,95.08,0.0,0.08,0.0,0.0,16.73,17.0,15.0,16.0,15.0,1.38,18.0,2.0
HGR Rutshuru,2023-05-01,0.8496,0.9601,0.0177,0.9878,0.9048,0.9994,0.9521,84.96,0.0,15.04,0.0,4.0,96.01,0.0,0.01,0.0,0.0,15.58,15.0,13.0,13.0,13.0,1.11,16.0,1.0
HGR Rutshuru,2023-07-01,0.9129,0.9912,0.0491,0.643,0.952,0.9985,0.9752,91.29,0.0,8.71,0.0,0.76,99.12,0.0,0.2,0.0,0.0,11.19,11.0,11.0,11.0,11.0,1.15,18.0,1.0
HGR Rutshuru,2023-08-01,0.9394,0.9754,0.0686,0.6667,0.9574,0.9966,0.977,93.94,0.04,6.01,0.0,0.79,97.54,0.0,1.67,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.42,9.0,1.0
HGR Rutshuru,2023-09-01,0.9462,0.9732,0.011,0.7687,0.9597,0.9997,0.9797,94.62,0.01,5.37,0.0,2.61,97.32,0.01,0.07,0.01,0.0,9.8,4.0,4.0,4.0,4.0,0.32,8.0,0.0
HGR Rutshuru,2023-10-01,0.9365,0.9498,0.0041,0.4231,0.9432,1.0,0.9716,93.65,0.01,6.34,0.0,4.99,94.98,0.0,0.03,0.0,0.0,21.46,29.0,27.0,28.0,27.0,1.82,27.0,2.0
HGR Rutshuru,2023-11-01,0.8249,0.8324,0.0044,0.4724,0.8286,0.9998,0.9142,82.49,0.01,17.49,0.0,16.76,83.24,0.0,0.0,0.0,0.0,11.12,23.0,16.0,14.0,14.0,1.07,18.0,2.0
HGR Rutshuru,2023-12-01,0.9643,0.9734,0.0109,0.3708,0.9688,1.0,0.9844,96.43,0.0,3.57,0.0,2.41,97.34,0.0,0.26,0.0,0.0,12.44,5.0,4.0,4.0,3.0,0.21,5.0,0.0
HGR Rutshuru,2024-01-01,0.9348,0.9419,0.0176,0.2273,0.9384,0.9999,0.9691,93.48,0.01,6.52,0.0,5.75,94.19,0.0,0.06,0.0,0.0,13.93,10.0,8.0,10.0,8.0,0.56,11.0,0.0
HGR Rutshuru,2024-02-01,0.9641,0.9829,0.0337,0.3684,0.9735,0.9999,0.9867,96.41,0.03,3.55,0.0,1.23,98.29,0.0,0.5,0.0,0.0,1.47,1.0,1.0,0.0,0.0,0.21,6.0,0.0
HGR Rutshuru,2024-03-01,0.897,0.9386,0.0012,0.6846,0.9178,1.0,0.9589,89.7,0.1,10.19,0.0,5.53,93.86,0.01,0.59,0.01,0.0,7.79,9.0,8.0,6.0,6.0,0.61,9.0,2.0
HGR Rutshuru,2024-04-01,0.7234,0.7349,0.0015,1.0238,0.7292,0.9999,0.8646,72.34,0.03,27.63,0.0,26.51,73.49,0.0,0.0,0.0,0.0,15.6,25.0,24.0,24.0,24.0,2.77,25.0,2.0
HGR Rutshuru,2024-05-01,0.9277,0.9596,0.0249,0.3091,0.9436,0.9997,0.9716,92.77,0.06,7.17,0.0,3.23,95.96,0.01,0.81,0.01,0.0,13.23,10.0,10.0,10.0,10.0,0.67,11.0,2.0
HGR Rutshuru,2024-06-01,0.8686,0.8813,0.0031,1.0009,0.875,1.0,0.9375,86.86,1.24,11.9,0.0,11.71,88.13,0.0,0.16,0.0,0.0,6.33,13.0,10.0,7.0,7.0,1.19,13.0,3.0
HGR Rutshuru,2024-07-01,0.939,0.9438,0.0036,0.5967,0.9414,1.0,0.9707,93.9,0.03,6.07,0.0,5.52,94.38,0.0,0.09,0.0,0.0,16.55,16.0,14.0,12.0,12.0,0.9,15.0,1.0
HGR Rutshuru,2024-08-01,0.9639,0.9768,0.0065,1.0385,0.9704,0.9998,0.9851,96.39,0.26,3.35,0.0,2.32,97.68,0.0,0.0,0.0,0.0,9.73,2.0,2.0,2.0,2.0,0.17,5.0,0.0
HGR Rutshuru,2024-09-01,0.8986,0.9151,0.0004,0.5192,0.9068,1.0,0.9534,89.86,0.66,9.48,0.0,8.46,91.51,0.0,0.03,0.0,0.0,6.01,11.0,9.0,10.0,9.0,1.31,12.0,3.0
HGR Rutshuru,2024-10-01,0.8927,0.9006,0.0001,0.5833,0.8966,1.0,0.9483,89.27,0.0,10.73,0.0,9.87,90.06,0.0,0.07,0.0,0.0,15.58,10.0,8.0,7.0,6.0,0.91,8.0,0.0
HGR Virunga,2022-05-01,1.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,,,,,
HGR Virunga,2022-06-01,0.9939,0.9491,0.0236,0.5455,0.9715,0.999,0.9852,99.39,0.0,0.61,0.0,0.11,94.91,0.0,4.97,0.0,0.04,,,,,,,,
HGR Virunga,2022-07-01,0.9705,0.8833,0.039,0.4096,0.9269,0.9993,0.9631,97.05,0.0,2.95,0.0,0.17,88.33,0.03,11.49,0.03,0.52,0.38,0.0,0.0,0.0,0.0,0.13,4.0,0.0
HGR Virunga,2022-08-01,0.9455,0.9383,0.2183,0.3333,0.9419,0.9999,0.9709,94.55,0.0,5.45,0.0,3.95,93.83,0.03,2.92,0.03,2.64,1.48,1.0,1.0,0.0,0.0,0.29,4.0,1.0
HGR Virunga,2022-09-01,0.9728,0.9664,0.0838,0.693,0.9696,0.9977,0.9836,97.28,0.0,2.72,0.0,2.72,96.64,0.0,0.63,0.0,0.0,,,,,,,,
HGR Virunga,2022-10-01,0.949,0.927,0.0017,0.5531,0.938,1.0,0.969,94.9,0.0,5.1,0.0,5.1,92.7,0.0,2.2,0.0,0.0,3.79,7.0,5.0,3.0,3.0,0.9,8.0,4.0
HGR Virunga,2022-11-01,0.9817,0.9029,0.0638,0.5686,0.9423,0.9887,0.9655,98.17,0.0,1.83,0.0,0.58,90.29,0.0,9.44,0.0,2.12,,,,,,,,
HGR Virunga,2022-12-01,0.9968,0.9284,0.0719,0.6277,0.9626,0.9954,0.979,99.68,0.0,0.32,0.0,0.32,92.84,0.0,6.84,0.0,0.0,,,,,,,,
HGR Virunga,2023-01-01,0.9957,0.9351,0.0715,0.4091,0.9654,0.9976,0.9815,99.57,0.0,0.43,0.0,0.31,93.51,0.0,6.19,0.0,0.17,0.54,0.0,0.0,0.0,0.0,0.13,4.0,0.0
HGR Virunga,2023-02-01,0.9962,0.9792,0.0718,0.5874,0.9877,0.9989,0.9933,99.62,0.0,0.38,0.0,0.38,97.92,0.01,1.69,0.01,0.0,0.33,0.0,0.0,0.0,0.0,0.21,6.0,0.0
HGR Virunga,2023-03-01,0.9872,0.9638,0.2951,0.8889,0.9755,0.9859,0.9807,98.72,0.0,1.28,0.0,1.28,96.38,0.01,2.33,0.01,0.0,,,,,,,,
HGR Virunga,2023-04-01,0.9497,0.9682,0.2055,0.6,0.959,0.9904,0.9747,94.97,0.0,5.03,0.0,1.21,96.82,0.0,1.97,0.0,0.01,,,,,,,,
