"Time","Frequency A27FD0AE (Ch Matanda - Control room)","Frequency E62B2EA3 (Ch Matanda - Radiologie)","Voltage A27FD0AE (Ch Matanda - Control room)","Voltage E62B2EA3 (Ch Matanda - Radiologie)"
2023-01-08 07:28:00,50.1,50.1,219,219
2023-01-08 07:30:00,50.0,50.0,218,218
2023-01-08 07:32:00,50.0,49.9,219,219
2023-01-08 07:34:00,50.1,50.1,224,224
2023-01-08 07:36:00,50.1,50.2,223,224
2023-01-08 07:38:00,50.2,50.1,225,225
2023-01-08 07:40:00,49.9,49.9,223,225
2023-01-08 07:42:00,50.1,50.2,224,225
2023-01-08 07:44:00,50.7,50.7,225,225
2023-01-08 07:46:00,49.9,49.9,224,225
2023-01-08 07:48:00,49.7,49.7,225,225
2023-01-08 07:50:00,49.6,49.7,223,224
2023-01-08 07:52:00,50.6,50.6,223,223
2023-01-08 07:54:00,50.1,50.0,223,223
2023-01-08 07:56:00,49.5,49.6,222,223
2023-01-08 07:58:00,50.2,50.1,225,225
2023-01-08 08:00:00,50.1,50.1,223,223
2023-01-08 08:02:00,50.3,50.3,221,222
2023-01-08 08:04:00,50.0,50.1,221,221
2023-01-08 08:06:00,49.8,49.8,220,220
2023-01-08 08:08:00,49.7,49.7,219,220
2023-01-08 08:10:00,50.0,50.0,220,221
2023-01-08 08:12:00,50.0,50.0,219,220
2023-01-08 08:14:00,50.0,49.9,221,221
2023-01-08 08:16:00,49.9,49.8,220,221
2023-01-08 08:18:00,49.9,50.0,217,217
2023-01-08 08:20:00,49.7,49.6,211,210
2023-01-08 08:22:00,50.2,50.2,214,214
2023-01-08 08:24:00,50.3,50.3,211,211
2023-01-08 08:26:00,50.1,50.1,211,211
2023-01-08 08:28:00,50.4,50.3,216,214
2023-01-08 08:30:00,50.2,50.2,219,220
2023-01-08 08:32:00,50.3,50.3,216,216
2023-01-08 08:34:00,49.8,49.8,217,216
2023-01-08 08:36:00,49.9,49.8,219,219
2023-01-08 08:38:00,50.0,50.1,221,221
2023-01-08 08:40:00,49.8,49.8,218,218
2023-01-08 08:42:00,49.5,49.5,222,221
2023-01-08 08:44:00,49.8,49.8,221,221
2023-01-08 08:46:00,49.7,49.7,222,222
2023-01-08 08:48:00,49.8,49.8,221,221
2023-01-08 08:50:00,50.2,50.2,223,223
2023-01-08 08:52:00,49.8,49.8,223,223
2023-01-08 08:54:00,49.7,49.8,221,221
2023-01-08 08:56:00,49.7,49.7,219,219
2023-01-08 08:58:00,49.6,49.6,219,219
2023-01-08 09:00:00,50,50.0,221,221
2023-01-08 09:02:00,50.2,50.2,220,221
2023-01-08 09:04:00,50.0,50.0,219,220
2023-01-08 09:06:00,50.0,50.0,218,218
2023-01-08 09:08:00,50.3,50.2,219,219
2023-01-08 09:10:00,50.1,50.2,219,219
2023-01-08 09:12:00,49.8,49.8,216,217
2023-01-08 09:14:00,50.1,50.2,217,218
2023-01-08 09:16:00,50.0,50.0,219,219
2023-01-08 09:18:00,50.1,50.1,218,218
2023-01-08 09:20:00,49.8,49.8,219,218
2023-01-08 09:22:00,49.9,49.8,220,220
2023-01-08 09:24:00,50.1,50.0,221,221
2023-01-08 09:26:00,50.0,50.0,222,223
2023-01-08 09:28:00,49.8,49.9,223,223
2023-01-08 09:30:00,50.0,50.0,223,222
2023-01-08 09:32:00,49.7,49.8,221,221
2023-01-08 09:34:00,49.7,49.9,221,221
2023-01-08 09:36:00,50.2,50.2,221,221
2023-01-08 09:38:00,50.0,50.1,222,222
2023-01-08 09:40:00,50.1,50.1,223,223
2023-01-08 09:42:00,50.2,50.1,219,219
