Time,Frequency A27FD0AE (Ch Matanda - Control room),Frequency E62B2EA3 (Ch Matanda - Radiologie),Voltage A27FD0AE (Ch Matanda - Control room),Voltage E62B2EA3 (Ch Matanda - Radiologie),Generator_ON
1/1/23 12:18,50.1,50.1,223,223,FALSE
1/1/23 12:20,50.1,50,223,223,FALSE
1/1/23 12:22,49.7,49.7,221,221,FALSE
1/1/23 12:24,50,50,221,221,FALSE
1/1/23 12:26,50,50.1,221,221,FALSE
1/1/23 12:28,49.9,49.9,215,215,FALSE
1/1/23 12:30,49.6,49.7,216,216,FALSE
1/1/23 12:32,49.8,49.9,222,223,FALSE
1/1/23 12:34,49.9,50,223,223,FALSE
1/1/23 12:36,49.8,49.8,225,225,FALSE
1/1/23 12:38,50,49.9,223,223,FALSE
1/1/23 12:40,49.6,49.7,221,221,FALSE
1/1/23 12:42,50.2,50.2,223,225,FALSE
1/1/23 12:44,50.1,50.1,225,226,FALSE
1/1/23 12:46,49.6,49.6,223,223,FALSE
1/1/23 12:48,50.2,50.2,224,225,FALSE
1/1/23 12:50,50,50,226,227,FALSE
1/1/23 12:52,50.1,50,226,227,FALSE
1/1/23 12:54,49.7,49.7,225,225,FALSE
1/1/23 12:56,50,50,226,226,FALSE
1/1/23 12:58,49.9,49.9,225,226,FALSE
1/1/23 13:00,50.2,50.2,226,226,FALSE
1/1/23 13:02,49.8,49.8,225,225,FALSE
1/1/23 13:04,50,50,226,226,FALSE
1/1/23 13:06,50,50,226,226,FALSE
1/1/23 13:08,49.6,49.6,225,225,FALSE
1/1/23 13:10,50,50,226,226,FALSE
1/1/23 13:12,50,50,226,226,FALSE
1/1/23 13:14,50.2,50.2,226,227,FALSE
1/1/23 13:16,49.9,49.9,226,226,FALSE
1/1/23 13:18,50,49.9,226,226,FALSE
1/1/23 13:20,50.1,50,225,226,FALSE
1/1/23 13:22,49.8,49.8,224,223,FALSE
1/1/23 13:24,49.4,49.3,221,221,FALSE
